d_spell,f_spell,result
Flash,Ignite,False
Flash,Heal,True
Smite,Flash,True
Smite,Flash,True
Flash,Ignite,False
Heal,Flash,True
Flash,Heal,False
Teleport,Flash,False
Flash,Ignite,True
Flash,Heal,False
Flash,Teleport,False
Flash,Ignite,False
Ignite,Flash,False
Flash,Ignite,True
Ignite,Flash,True
Smite,Flash,True
Flash,Ignite,False
Flash,Teleport,True
Ignite,Flash,True
Ignite,Flash,False
Flash,Ghost,False
Ignite,Flash,False
Flash,Ignite,False
Flash,Smite,True
Ignite,Teleport,True
Flash,Teleport,False
Flash,Ignite,False
Ignite,Flash,False
Flash,Smite,True
Flash,Teleport,False
Ignite,Flash,False
Teleport,Flash,False
Flash,Smite,False
Teleport,Flash,False
Teleport,Flash,False
Flash,Teleport,False
Flash,Heal,True
Flash,Ignite,True
Flash,Ignite,False
Flash,Smite,False
Teleport,Flash,False
Smite,Flash,False
Flash,Teleport,False
Heal,Flash,True
Flash,Cleanse,True
Flash,Teleport,True
Flash,Smite,False
Flash,Ignite,True
Flash,Exhaust,False
Flash,Ignite,True
Flash,Ignite,True
Flash,Ignite,True
Flash,Exhaust,False
Flash,Exhaust,False
Flash,Cleanse,False
Flash,Teleport,True
Ignite,Flash,False
Flash,Ignite,True
Smite,Flash,True
Heal,Flash,True
Flash,Smite,True
Flash,Ignite,False
Flash,Teleport,True
Smite,Flash,True
Exhaust,Flash,True
Teleport,Flash,True
Ignite,Exhaust,False
Exhaust,Smite,False
Flash,Teleport,False
Teleport,Flash,True
Teleport,Flash,False
Exhaust,Flash,False
Ignite,Flash,False
Flash,Smite,True
Flash,Ignite,True
Flash,Ignite,False
Flash,Exhaust,False
Teleport,Flash,True
Exhaust,Flash,True
Ignite,Exhaust,True
Flash,Ignite,False
Flash,Ignite,False
Ignite,Teleport,False
Teleport,Flash,False
Heal,Flash,True
Flash,Teleport,False
Flash,Ignite,False
Flash,Exhaust,True
Flash,Teleport,False
Heal,Flash,True
Ghost,Teleport,False
Ignite,Flash,False
Ignite,Teleport,False
Teleport,Flash,True
Flash,Heal,False
Flash,Teleport,True
Flash,Teleport,True
Flash,Heal,False
Flash,Heal,False
Flash,Smite,False
Flash,Smite,True
Flash,Ignite,True
Exhaust,Flash,True
Ghost,Flash,False
Flash,Teleport,True
Ghost,Teleport,False
Flash,Teleport,False
Flash,Teleport,False
Flash,Ignite,True
Smite,Flash,True
Flash,Heal,False
Flash,Teleport,True
Flash,Ignite,False
Heal,Flash,True
Teleport,Flash,False
Flash,Ignite,False
Ignite,Flash,False
Flash,Ignite,True
Flash,Heal,True
Smite,Flash,False
Ignite,Flash,True
Teleport,Flash,True
Ignite,Teleport,True
Flash,Teleport,True
Flash,Teleport,True
Flash,Teleport,False
Ignite,Flash,False
Flash,Exhaust,True
Ghost,Smite,False
Smite,Flash,True
Ignite,Teleport,False
Teleport,Flash,False
Teleport,Flash,True
Heal,Flash,True
Ignite,Flash,False
Flash,Ignite,False
Flash,Smite,False
Smite,Flash,True
Ignite,Flash,True
Flash,Heal,False
Flash,Exhaust,True
Flash,Ignite,False
Exhaust,Flash,True
Ignite,Flash,True
Exhaust,Flash,False
Flash,Heal,False
Ignite,Flash,True
Flash,Teleport,True
Exhaust,Ignite,False
Flash,Heal,True
Flash,Ignite,False
Smite,Flash,True
Flash,Ignite,False
Heal,Exhaust,False
Flash,Teleport,True
Flash,Exhaust,True
Heal,Flash,True
Flash,Heal,True
Flash,Ignite,False
Flash,Heal,True
Flash,Smite,False
Teleport,Flash,False
Teleport,Flash,False
Flash,Heal,False
Ignite,Flash,True
Flash,Heal,False
Flash,Teleport,True
Ignite,Flash,True
Teleport,Ignite,True
Flash,Teleport,True
Smite,Flash,False
Ghost,Ignite,False
Ignite,Flash,True
Teleport,Flash,False
Flash,Ignite,False
Flash,Ignite,False
Smite,Flash,True
Heal,Flash,False
Flash,Teleport,False
Flash,Ignite,False
Flash,Ignite,False
Flash,Teleport,False
Flash,Smite,True
Smite,Flash,False
Flash,Heal,False
Flash,Ignite,False
Heal,Flash,True
Smite,Flash,True
Flash,Teleport,True
Flash,Ignite,True
Flash,Smite,True
Flash,Ignite,False
Ignite,Flash,False
Flash,Heal,False
Flash,Teleport,True
Flash,Ignite,True
Flash,Teleport,False
Flash,Smite,True
Flash,Smite,True
Flash,Exhaust,False
Smite,Flash,True
Teleport,Flash,True
Flash,Smite,False
Flash,Smite,False
Teleport,Ignite,True
Flash,Smite,True
Teleport,Flash,True
Smite,Flash,True
Flash,Ignite,True
Flash,Ignite,False
Flash,Ignite,True
Flash,Teleport,True
Flash,Ignite,False
Flash,Heal,False
Flash,Teleport,True
Teleport,Flash,False
Flash,Heal,True
Flash,Teleport,False
